topic_id,global_top_words,n_docs_total,first_month,last_month,n_months_active,n_subcluster_hits
111,"sars patients, thiopental, multaq, qnexa, sars cases, gilenya, benlysta, lorcaserin, doxil, sars symptoms, pradaxa, cases sars, orexigen, stohr, contrave",3478,2000-04,2019-12,70,77
112,"nakheel, mr sanea, sanea, exposure dubai, dubai world, sukuk, alinghi, investment organizations, dubai debt, arabtec, month standstill, unit nakheel, creditors dubai, nasdaq dubai, adia",328,2000-04,2014-09,12,12
113,"mr capriles, capriles, baduel, zuluaga, cnte, pérez molina, mr maduro, iguala, mr chávez, ms betancourt, scioli, ms machado, unasur, mr coke, mr scioli",2584,2000-05,2020-11,86,92
114,"uka, mr luzhkov, luzhkov, amenas, belmokhtar, pfc manning, ms tymoshenko, aqim, mr lukashenko, mr khodorkovsky, mr karim, domodedovo, lovelady, tymoshenko, mr assange",312,2000-05,2013-01,11,11
115,"mr ovitz, ovitz, messrs disney, mr disney, snl kagan, mr lasseter, disney gold, mr seacrest, ms hennessy, terrestar, lorre, dauman said, starz, georgetown del, mr litvack",3249,2000-05,2013-09,88,89
116,"wpp stock, bleustein blanchet, badinter, negotiations wpp, deal wpp, blanchet, young rubicam, rubicam, bleustein, individual close, wpp according, thomas bell, media edge, wpp american, fallon mcelligott",16,2000-05,2000-05,1,1
117,"canel, díaz canel, paya, ftaa, raúl castro, jara, arche, dr butler, ms vidal, president raúl, cuban people, nisman, mr nisman, cuba list, havana washington",358,2000-05,2021-07,15,15
118,"lescure, mr lescure, mr messier, vivendi environment, fourtou, mr fourtou, dehecq, telepiu, mr dehecq, hannezo, bronfmans, media utility, mr bebear, vivendi new, french directors",352,2000-06,2004-04,14,14
119,"mr roh, stolt, sinuiju, dae jung, kim dae, pntr, sunshine policy, roh, jung sunshine, il government, nmd, dae, yongbyon, daesong, herbold",881,2000-06,2015-03,33,33
120,"red baron, elderhostel, hanneman, mr niemeyer, mr sopko, ms hadid, prettyman, lanai, kundig, greengard, turrell, carnarvon, mr balazs, airstream, clarissa",414,2000-06,2019-07,17,17
121,"toysmart, steadier measure, claims proxy, fiddelke, proxy layoffs, curtin survey, fiore said, poloz, mr herkert, mr fiore, economist amherst, mr poloz, weinsteins, herkert, valuation capital",1774,2000-06,2021-07,57,68
122,"nozoe, hokuetsu, ircj, mr shirakawa, azumi, akito, mr azumi, akito fukunaga, jgb, gov masaaki, jgbs, shirakawa said, dpj, azumi said, mr noda",5613,2000-07,2020-08,144,186
123,"bone meal, kuenast, bio rad, starlink, duis, starlink corn, snow brand, prions, meat bone, cow crisis, cjd, cases bse, jakob disease, scrapie, brain wasting",221,2000-07,2019-01,8,8
124,"wachovia board, seritage, marble ridge, mr marron, captec, mytheresa, bid wachovia, mattress firm, sears bankruptcy, union wachovia, dr soon, mr lampert, new sears, judge strine, ms tilton",1174,2000-07,2020-06,36,44
125,"nortel corning, optical parts, sdl, alteon, optical components, jds, bookham, nortel optical, kedersha, corning deal, tek, optic components, nortel president, nortel, nortel lucent",15,2000-07,2000-07,1,1
126,"manesar, etios, hero motocorp, motocorp, wheeler maker, kaizaki, maruti, tvs motor, suzuki india, unit suzuki, maruti suzuki, hero honda, kirloskar, tread separation, delhi maruti",858,2000-08,2013-03,29,32
127,"floodway, lipa, coast live, mr lhota, sandy happened, pg edison, distributed generation, nycha, mr carrión, 29 storm, rtos, city commute, lhota, hurricanes tropical, mr kelling",1394,2000-08,2019-01,34,36
128,"mr youngkin, ms tanden, mr linick, linick, youngkin, mulcaire, dowler, pagliano, myler, raffensperger, leveson, tanden, world editor, milly dowler, mr crone",1870,2000-08,2021-12,57,58
129,"waxman markey, mr blakeslee, endangerment finding, skirball, cuadrilla, uscap, warming emissions, intriago, hurricane florence, mountaintop mining, fort mcmurray, track area, notley, administrator lisa, gold king",2953,2000-08,2021-12,82,89
130,"mr haffa, haffa, saikawa, mr saikawa, xinmao, em tv, draka, gevrey, pélata, quinsa, mr ghosn, castorama, rochette, mr holtrop, saikawa said",490,2000-08,2018-12,15,16
131,"samaranch, potro, del potro, kinzler, iqaluit, entine, usada, mr clapp, lochte, federer, g4s, sydney games, alessandri, ioc, kookaburra",272,2000-09,2013-02,9,9
132,"mr morsi, mr abdulmutallab, maj hasan, noordin, pro gadhafi, ajdabiya, mr samak, cambone, opcw, mr kostunica, col gadhafi, council armed, shafiq, mr blix, mr arafat",7415,2000-09,2014-10,117,177
133,"mr shahzad, mr zazi, zazi, mr breivik, mr megrahi, shahzad, cromitie, mr abdulmutallab, megrahi, mr ghailani, ms larose, polanski, breivik, ivins, ghailani",767,2000-09,2012-04,19,21
134,"ms druyun, druyun, mr stonecipher, depleted uranium, sbirs, presevo, mr sears, nmd, stonecipher, abm treaty, national missile, stonecipher said, 7e7, darleen druyun, darleen",334,2000-09,2005-03,11,14
135,"singson, mr estrada, kaisa, ilocos, bakries, bumi plc, pro estrada, bakrie group, velarde, ms arroyo, cainiao, erap, didi kuaidi, kaisa said, estrada supporters",1069,2000-10,2017-07,39,39
