topic_id,global_top_words,n_docs_total,first_month,last_month,n_months_active,n_subcluster_hits
172,"advanced cell, dr venter, therapeutic cloning, matteoli, human cloning, geron, cell types, cloned embryos, cell lines, telomerase, dr sinclair, research cloning, resveratrol, cloning, menara",338,2001-08,2018-12,26,26
173,"perchlorate, mr blakeslee, aerojet, anwr, perc, blakeslee, borlaug, gang 10, teasdale, pfoa, pangasius, shipbreaking, mtbe, black currant, currant",778,2001-08,2015-03,20,20
174,"refugees wait, livewire, corasaniti, south tower, boylston, chalmette, north tower, ken wells, shmukler, evelina shmukler, ms thornton, ms dale, culbreth, ninth ward, mr marquis",670,2001-09,2020-09,18,22
175,"silverstein group, reschke, follieri, mr reschke, citi habitats, minskoff, cim, mr silverstein, mack cali, chartermac, bucksbaum, displaced tenants, mr eichner, equastone, boston properties",763,2001-09,2020-08,27,27
176,"terrorism coverage, coverage dec, future terrorism, reinsurance pool, claims terrorism, exposure attacks, risk policies, primary insurers, coverage terrorism, reinsurers assume, business interruption, interruption claims, act war, eqecat, lloyd syndicates",92,2001-09,2011-03,5,5
177,"upoc, comdisco, iron mountain, gotomypc, mr reich, prof reich, expertcity, equipment hub, roaming revenues, babbio, goamerica, recovery centers, videoconferencing, telecommuncations, payphones",23,2001-09,2020-12,2,2
178,"stub quotes, slow mode, trades canceled, pinder, wide circuit, universa, cme 66, breaker levels, tradebot, nov tuesday, thursday tuesday, ndaq 37, intermarket, electronic arca, erroneous trades",122,2001-09,2012-11,10,11
179,"coronavirus jan, death coronavirus, 2014 2010, attacks economists, stearns sold, preattack levels, financial ifr, bailout law, characterize current, crisis aug, thomson global, preattack, fishkind, analytics decision, august 1990",74,2001-09,2020-03,5,5
180,"mr lutnick, lutnick, espeed, mr mccoll, attacks keefe, mccoll, mr eberling, amaitis, marber, lutnick said, mr marber, mr meehan, eberling, voice brokers, john duffy",19,2001-10,2001-10,1,1
181,"ljm, glisan, ljm2, mr fastow, mr glisan, mr kopper, fastow, mr skilling, kopper, enron treasurer, skilling lay, berardino, mr lay, enron board, mr petrocelli",570,2001-11,2006-05,15,18
182,"holdiko, bank utama, oyl, rhb bank, sri syed, loy yang, rhb, ibra, pldt, tan sri, hynix, compiled dow, kimchi, pernas, seoulbank",266,2001-11,2013-05,10,11
183,"mr hewlett, hp compaq, walter hewlett, hewlett said, hewlett son, revocable trust, compaq merger, 3par, william hewlett, buy compaq, printer imaging, dissident director, joint proxy, compaq deal, hackborn",246,2001-12,2011-11,10,10
184,"mini mills, integrated mills, tariffs 30, bush tariffs, steel states, steel decision, steel using, steel dispute, mr usher, foreign steel, steel bethlehem, city steel, eu steel, steel kosice, domestic steelmakers",180,2001-12,2021-09,29,29
185,"harken, enron argentina, harken energy, mr lay, washington enron, lay called, sure excluded, source review, help enron, poor sure, excluded rate, excellent pretty, cheney task, enron officials, rogich",108,2002-01,2002-07,3,3
186,"ms temple, mr hardin, andersen partners, mr niemeier, astin, firm document, bowsher, andersen partner, venoco, said andersen, berardino, spes, andersen employees, andersen enron, melinda harmon",913,2002-01,2015-07,24,34
187,"ifco, magaw, mr magaw, argenbright, ms montes, al hussaini, marshal program, huntleigh, tsa, mr wein, cockpit doors, hussaini, pilots carry, detection machines, srd",382,2002-01,2017-07,21,21
188,"mr schulze, door buster, herkert, shoppertrak, hoguet said, mr herkert, ms tome, tome said, ms hoguet, layaway, droz, spendingpulse, cyber monday, sadove, doorbuster",2908,2002-01,2021-01,76,88
189,"westpoint, willamette, mr rogel, rogel, willamette board, willamette shareholders, mr galli, weyerhaeuser, mr correll, georgia pacific, correll, galli, said willamette, willamette shares, gruntal",19,2002-01,2003-06,2,2
190,"tyco capital, said tyco, westpoint, tyco executives, mr fort, tyco shares, mr kozlowski, tyco executive, tyco chief, mcgee tyco, tyco accounting, tyco stock, mr weill, kozlowski said, tyco",111,2002-01,2007-02,12,12
191,"cafe increase, carvana, 35 mpg, 30 mpg, mpg, pound feet, silicate, cafe standards, small reactors, mr diess, economy cafe, mpg highway, city highway, xj, cents kwh",746,2002-01,2021-12,30,32
192,"mr arison, mr fain, intimate brands, princess shareholders, arison, fain, rum brand, pury, merger royal, arison carnival, mr pury, captain morgan, royal caribbean, princess said, carnival chairman",20,2002-02,2003-01,3,3
193,"oneok, westar, ambac, mr sidgmore, sidgmore, mr dinallo, mr ebbers, dinallo, bond insurers, conseco, ebbers, mbia, aes, ambac mbia, pure resources",181,2002-02,2009-03,6,6
194,"mr tung, mr tsang, proactive market, positive nonintervention, tung, tung administration, mr leung, tsang, chee hwa, tung chee, antony leung, kong leader, financial secretary, projects beneficial, henry tang",91,2002-03,2014-02,16,16
195,"atricure, dr cosgrove, dr singh, dr wood, dr levy, procrit, dr wong, hymen, ms landro, dr topol, dr weaver, transgendered, bmj, landro, silicosis",99,2002-03,2014-06,4,4
196,"calif secured, ventures included, round included, ventures join, ventures funds, included existing, series funding, calif gained, kodiak venture, led round, prism venture, venrock associates, healthcare ventures, bioventures, date use",1859,2002-03,2016-06,45,46
197,"mr mélenchon, fortuyn, mr fortuyn, mélenchon, mr aristide, en marche, le pen, mr bayrou, ms le, mr fillon, bayrou, mr jospin, mr macron, républicains, les républicains",993,2002-04,2021-06,44,46
198,"dr mcguire, grant dates, backdated options, mr spears, measurement dates, ms heinen, options timing, micrel, unitedhealth board, backdating options, expensing options, granting practices, comverse, options granting, therrien",447,2002-04,2015-07,25,28
199,"adventure click, person adventure, micheletti, explore america, midatlantic, start interactive, image start, healthcare gov, marketplace plans, overhaul affect, covered california, dr mcdonald, hospitalists, counihan, mr michelson",544,2002-04,2020-04,30,30
200,"mr bancroft, elefante, arconic, bancrofts, hemenway, wetlaufer, bancroft family, jones board, mr beaudoin, arconic board, beaudoin, mr kleinfeld, lord black, mr panic, bancroft",238,2002-04,2018-02,10,10
201,"nsn, mr elop, elop, telecity, lumia, asiasat, meego, mr lazaridis, mr zander, synchronoss, lazaridis, mr combes, elop said, siilasmaa, stephen elop",1014,2002-04,2019-04,62,68
202,"speedway motorsports, american golf, international speedway, dogtown, augusta national, national golf, carnival royal, motorsports, speedway, rawlings, royal caribbean, south beach, skate, golf related, skateboarders",16,2002-04,2002-04,1,1
203,"mr lapierre, lapierre, nra board, mr blatt, nra, mr donziger, donziger, ms holmes, lapierre said, imerys, mr brockman, mr mcglashan, imerys talc, nra said, ackerman mcqueen",118,2002-04,2021-05,10,10
204,"vonovia, kurer, ojjeh, wohnen, deutsche wohnen, converium, bnpp, mr fahrholz, mr gruebel, tchibo, elsam, mr grübel, doerig, mr tilmant, centerpulse",5385,2002-05,2021-02,123,145
205,"receive routinely, receive select, select week, answered mossberg, select answered, mail consult, routinely answer, week mailbox, readability week, restated questions, edited restated, bit readability, item confusing, confusing unpredictable, unreliable personal",1347,2002-05,2015-03,52,53
206,"mr pitt, mr kotz, mr grunwald, mr goldschmid, john biggs, mr grubman, goldschmid, kotz, mcpheeters, herdman, mr webster, ullico, refco capital, pitt resignation, winstar",354,2002-05,2017-01,13,14
207,"altran, sidgmore, mr sidgmore, said worldcom, worldcom bonds, worldcom stock, 2002 worldcom, serial acquirers, sidgmore said, mr grubman, john sidgmore, imhoff, billion worldcom, pacificare, clinton miss",95,2002-06,2003-04,4,4
208,"mr faneuil, mr bacanovic, bacanovic, dr waksal, faneuil, mr morvillo, waksal, cryolife, cedarbaum, judge cedarbaum, stewart lawyers, morvillo, strassberg, douglas faneuil, samuel waksal",127,2002-06,2005-03,6,6
209,"gokongwei, mr gokongwei, pldt, mr pangilinan, pangilinan, uol, stake pldt, metro pacific, mr wee, bonifacio land, oei, natsteel, danaharta, john gokongwei, mr salim",151,2002-06,2013-05,8,8
